Data,admissoes
1999.05,732704
1999.06,731238
1999.07,685905
1999.08,690144
1999.09,698632
1999.1,687788
1999.11,686902
1999.12,547526
2000.01,757207
2000.02,804926
2000.03,799441
2000.04,784055
2000.05,923681
2000.06,861260
2000.07,839196
2000.08,866852
2000.09,815219
2000.1,824921
2000.11,760345
2000.12,631029
2001.01,909984
2001.02,851610
2001.03,923525
2001.04,880234
2001.05,1003027
2001.06,889730
2001.07,884230
2001.08,890652
2001.09,861183
2001.1,852227
2001.11,811245
2001.12,593996
2002.01,776512
2002.02,746433
2002.03,873579
2002.04,945874
2002.05,926931
2002.06,775351
2002.07,831579
2002.08,862934
2002.09,874062
2002.1,853080
2002.11,775085
2002.12,570959
2003.01,822277
2003.02,841125
2003.03,773659
2003.04,869453
2003.05,904068
2003.06,824879
2003.07,812383
2003.08,839474
2003.09,900082
2003.1,851731
2003.11,788649
2003.12,581563
2004.01,850198
2004.02,872046
2004.03,998092
2004.04,961475
2004.05,1031227
2004.06,986494
2004.07,982628
2004.08,1048597
2004.09,987731
2004.1,921063
2004.11,931126
2004.12,725819
2005.01,980620
2005.02,971302
2005.03,1082470
2005.04,1110030
2005.05,1101252
2005.06,1089948
2005.07,1004702
2005.08,1071798
2005.09,1058963
2005.1,971726
2005.11,967765
2005.12,768425
2006.01,1049445
2006.02,1062980
2006.03,1129637
2006.04,1076102
2006.05,1165777
2006.06,1080412
2006.07,1079746
2006.08,1146722
2006.09,1092661
2006.1,1080392
2006.11,1047987
2006.12,819288
2007.01,1144043
2007.02,1137737
2007.03,1255630
2007.04,1272951
2007.05,1293497
2007.06,1197609
2007.07,1190535
2007.08,1253523
2007.09,1224287
2007.1,1280701
2007.11,1182648
2007.12,908128
2008.01,1308922
2008.02,1376908
2008.03,1433140
2008.04,1503158
2008.05,1389589
2008.06,1492051
2008.07,1502808
2008.08,1484006
2008.09,1554571
2008.1,1451205
2008.11,1275674
2008.12,887299
2009.01,1216550
2009.02,1233554
2009.03,1419511
2009.04,1350446
2009.05,1348575
2009.06,1356349
2009.07,1398181
2009.08,1457455
2009.09,1491580
2009.1,1433915
2009.11,1413043
2009.12,1068481
2010.01,1410462
2010.02,1526321
2010.03,1820045
2010.04,1660075
2010.05,1693332
2010.06,1623079
2010.07,1614319
2010.08,1740659
2010.09,1688585
2010.1,1620535
2010.11,1576872
2010.12,1230563
2011.01,1650372
2011.02,1797217
2011.03,1765922
2011.04,1774378
2011.05,1912665
2011.06,1781817
2011.07,1696863
2011.08,1830321
2011.09,1763026
2011.1,1664566
2011.11,1620422
2011.12,1305051
2012.01,1711490
2012.02,1740062
2012.03,1881127
2012.04,1798101
2012.05,1785075
2012.06,1732327
2012.07,1753241
2012.08,1819767
2012.09,1664747
2012.1,1710580
2012.11,1624306
2012.12,1211216
2013.01,1794272
2013.02,1774411
2013.03,1849148
2013.04,1938169
2013.05,1827122
2013.06,1772194
2013.07,1781308
2013.08,1845915
2013.09,1805458
2013.1,1841106
2013.11,1618426
2013.12,1094522
2014.01,1778077
2014.02,1989181
2014.03,1767969
2014.04,1862515
2014.05,1849591
2014.06,1639407
2014.07,1746797
2014.08,1748818
2014.09,1770429
2014.1,1718373
2014.11,1613006
2014.12,1176896
2015.01,1600094
2015.02,1646703
2015.03,1719219
2015.04,1527681
2015.05,1464645
2015.06,1453335
2015.07,1397393
2015.08,1392343
2015.09,1326735
2015.1,1237454
2015.11,1179079
2015.12,917031
2016.01,1205040
2016.02,1276620
2016.03,1374485
2016.04,1258970
2016.05,1209991
2016.06,1204763
2016.07,1168011
2016.08,1253728
2016.09,1142797
2016.1,1104431
2016.11,1103767
2016.12,869439
2017.01,1225262
2017.02,1250831
2017.03,1261332
2017.04,1141850
2017.05,1242433
2017.06,1181930
2017.07,1167770
2017.08,1254951
2017.09,1148307
2017.1,1187819
2017.11,1111798
2017.12,910586
2018.01,1284498
2018.02,1274965
2018.03,1340153
2018.04,1305225
2018.05,1277576
2018.06,1167531
2018.07,1219187
2018.08,1353422
2018.09,1234591
2018.1,1279502
2018.11,1189414
2018.12,961145
2019.01,1325183
2019.02,1453284
