data,demissoes
1999.05,635522
1999.06,673129
1999.07,677848
1999.08,676838
1999.09,691425
1999.1,670349
1999.11,703072
1999.12,790647
2000.01,726009
2000.02,716751
2000.03,759494
2000.04,658984
2000.05,760844
2000.06,718376
2000.07,733354
2000.08,788007
2000.09,722541
2000.1,809479
2000.11,759879
2000.12,856818
2001.01,861188
2001.02,771367
2001.03,889041
2001.04,740237
2001.05,841129
2001.06,781159
2001.07,812844
2001.08,843325
2001.09,781155
2001.1,775040
2001.11,816160
2001.12,847919
2002.01,732284
2002.02,664420
2002.03,783319
2002.04,770784
2002.05,771118
2002.06,642005
2002.07,770352
2002.08,784912
2002.09,706750
2002.1,816712
2002.11,786836
2002.12,820473
2003.01,786792
2003.02,757096
2003.03,752398
2003.04,715429
2003.05,763755
2003.06,699084
2003.07,775150
2003.08,759702
2003.09,738317
2003.1,780861
2003.11,753845
2003.12,881481
2004.01,750092
2004.02,732972
2004.03,889880
2004.04,773928
2004.05,739405
2004.06,778599
2004.07,780595
2004.08,818840
2004.09,787989
2004.1,790904
2004.11,852104
2004.12,1077912
2005.01,864648
2005.02,898017
2005.03,979505
2005.04,843935
2005.05,888802
2005.06,894412
2005.07,887229
2005.08,936338
2005.09,869505
2005.1,853551
2005.11,953934
2005.12,1055144
2006.01,962829
2006.02,886348
2006.03,1053182
2006.04,846299
2006.05,966940
2006.06,924957
2006.07,925389
2006.08,1017807
2006.09,915926
2006.1,950597
2006.11,1015408
2006.12,1136781
2007.01,1038575
2007.02,989718
2007.03,1109489
2007.04,970960
2007.05,1081280
2007.06,1015942
2007.07,1063543
2007.08,1120194
2007.09,973119
2007.1,1075441
2007.11,1058094
2007.12,1227542
2008.01,1166001
2008.02,1171945
2008.03,1226584
2008.04,1208636
2008.05,1186605
2008.06,1182609
2008.07,1299590
2008.08,1244883
2008.09,1271730
2008.1,1389804
2008.11,1316495
2008.12,1542245
2009.01,1318298
2009.02,1224375
2009.03,1384693
2009.04,1244241
2009.05,1217018
2009.06,1236854
2009.07,1259779
2009.08,1215329
2009.09,1238963
2009.1,1202959
2009.11,1166348
2009.12,1483673
2010.01,1229043
2010.02,1316896
2010.03,1553630
2010.04,1355007
2010.05,1395291
2010.06,1410127
2010.07,1432523
2010.08,1441244
2010.09,1441710
2010.1,1415731
2010.11,1438625
2010.12,1638073
2011.01,1498281
2011.02,1516418
2011.03,1673247
2011.04,1502153
2011.05,1660598
2011.06,1566424
2011.07,1556300
2011.08,1639875
2011.09,1553948
2011.1,1538423
2011.11,1577687
2011.12,1713223
2012.01,1592595
2012.02,1589462
2012.03,1769381
2012.04,1581127
2012.05,1645396
2012.06,1611887
2012.07,1610745
2012.08,1718829
2012.09,1514413
2012.1,1643592
2012.11,1578211
2012.12,1708160
2013.01,1765372
2013.02,1650965
2013.03,1736698
2013.04,1741256
2013.05,1755094
2013.06,1648358
2013.07,1739845
2013.08,1718267
2013.09,1594390
2013.1,1746213
2013.11,1570940
2013.12,1543966
2014.01,1748482
2014.02,1728358
2014.03,1754852
2014.04,1757131
2014.05,1790755
2014.06,1614044
2014.07,1735001
2014.08,1647393
2014.09,1646644
2014.1,1748656
2014.11,1604625
2014.12,1732404
2015.01,1681868
2015.02,1649118
2015.03,1699937
2015.04,1625509
2015.05,1580244
2015.06,1564534
2015.07,1555298
2015.08,1478886
2015.09,1422337
2015.1,1406585
2015.11,1309708
2015.12,1513239
2016.01,1304734
2016.02,1381202
2016.03,1493261
2016.04,1321814
2016.05,1282606
2016.06,1295795
2016.07,1262735
2016.08,1287681
2016.09,1182079
2016.1,1179179
2016.11,1220514
2016.12,1331805
2017.01,1266126
2017.02,1215219
2017.03,1324956
2017.04,1081994
2017.05,1208180
2017.06,1172109
2017.07,1131870
2017.08,1219494
2017.09,1113915
2017.1,1111220
2017.11,1124090
2017.12,1239125
2018.01,1206676
2018.02,1213777
2018.03,1248002
2018.04,1189327
2018.05,1243917
2018.06,1168192
2018.07,1171868
2018.08,1242991
2018.09,1097255
2018.1,1221769
2018.11,1130750
2018.12,1295607
2019.01,1290870
2019.02,1280145
