data,salario
1801,160000.0
1802,115000.0
1803,160000.0
1804,125000.0
1805,100000.0
1806,140000.0
1807,115000.0
1808,125000.0
1809,125000.0
1810,140000.0
1811,
1812,115000.0
1813,100000.0
1814,138000.0
1815,125000.0
1816,125000.0
1817,
1818,150000.0
1819,
1820,160000.0
1821,140000.0
1822,125000.0
1823,125000.0
1824,
1825,140000.0
1826,125000.0
1827,
1828,
1829,
1830,
1831,160000.0
1832,180000.0
1833,225000.0
1834,
1835,
1836,250000.0
1837,250000.0
1838,250000.0
1839,250000.0
1840,250000.0
1841,225000.0
1842,220000.0
1843,190000.0
1844,250000.0
1845,250000.0
1846,250000.0
1847,225000.0
1848,280000.0
1849,250000.0
1850,250000.0
1851,250000.0
1852,250000.0
1853,250000.0
1854,250000.0
1855,250000.0
1856,300000.0
1857,320000.0
1858,400000.0
1859,500000.0
1860,400000.0
1861,400000.0
1862,400000.0
1863,360000.0
1864,360000.0
1865,400000.0
1866,400000.0
1867,400000.0
1868,400000.0
1869,500000.0
1870,500000.0
1871,500000.0
1872,500000.0
1873,625000.0
1874,625000.0
1875,500000.0
1876,500000.0
1877,
1878,450000.0
1879,500000.0
1880,500000.0
1881,500000.0
1882,
1883,
1884,500000.0
1885,500000.0
1886,500000.0
1887,500000.0
1888,500000.0
1889,500000.0
